reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,score_category
738b1d1d-b23c-4ec8-9f7c-3f5d936924b9,Akun Smurf,https://play-lh.googleusercontent.com/a/ACg8ocIo28YqA5xFqiV1WkWahV07WI_zYQyu6YMHGIZYfJKcSnpnHA=mo,"Cari uang kok dengan memberatkan pemilik kost. Pemilik kost itu juga banyak yang pas2an. Tampilin nomor di catatan kost ga bisa, tampilin alamat juga ga bisa. Dulu kuota chat bilang tiap Minggu. sekarang cuma tanggal 1 dan tgl 15. tekan terus aja pemilik kost dengan suruh membayar Langganan gold plus mu itu.",1,32,25.18.0,2025-05-13 14:08:32,Halo bapak/ibu mohon maaf atas ketidaknyamanannya. Terkait kendala yang dialami dapat dikonsultasikan kepada CS melalui WhatsApp 081325111171 agar dapat dibantu lebih cepat untuk proses update datanya. Terima kasih,2025-05-18 13:18:32,25.18.0,1
37e14345-895d-4a48-b1c8-a8871c303696,Felix Andri,https://play-lh.googleusercontent.com/a-/ALV-UjVAJv2BPHFCLDDT-xiN8RRM5wHfIHm72NJckUeLta9WOdPWLu9v,"Ada banyak notif pesan yg perlu dibalas, begitu beli paket mamikos gold hasil nya tidak ada 1 pesan pun yg masuk. Curhat ke CS mami kos hanya di baca doank tanpa kejelasan. Sedikit dirugikan aja. Mau stop penggunaan nunggu paket iklan habis dulu. Sepi cuma boros beli paket. parah",1,33,25.13.0,2025-04-05 11:10:11,"Halo, Pak/Bu, Mohon maaf atas ketidaknyamanan yang dialami. Mohon dapat melampirkan screenshot kendala yang dialami ke nomor CS Mamikos 081325111171 untuk memudahkan kami dalam melakukan pengecekkan Mohon dukungannya dengan update rating ya Pak/Bu, agar kami bisa meningkatkan layanan.Terima kasih",2025-02-17 22:36:10,25.13.0,1
3c96eaa6-885b-49dc-bc85-d0ff7cb13493,Jhon Connor,https://play-lh.googleusercontent.com/a/ACg8ocL4HiZ49pf0DOLxIRpE-ekhNCRi_CO8yVDozB_1ZNS_sQOJjg=mo,"Saya udah beli gold plus tetap aja sepi!, belum lagi ada tangan² setan yang merubah data² kos saya, contoh yang saya alami kost diperbolehkan untuk pasutri dirubah jadi bukan untuk pasutri??",1,17,25.16.0,2025-05-10 18:33:50,"Halo, Pak/Bu mohon maaf atas ketidaknyamanan yang dialami. Apabila Bapak/Ibu memiliki keluhan/saran, dapat langsung disampaikan melalui email cs@mamikos.com atau WA ke 081325111171. Mohon dukungannya dengan update rating ya Kak, agar kami bisa meningkatkan layanan. Terima kasih",2025-05-11 00:52:16,25.16.0,1
ed9d60da-6341-412b-86f5-a5350675e442,susi suswati wati,https://play-lh.googleusercontent.com/a-/ALV-UjVhN-3QJTQUdUiKAbAWZeH__T0S5LcZvK6eIO9toCa15VFVOIE,"aplikasi ini skrg memberatkan pemilik kost,bayarnya tambah mahal ,kl GK dibayar GK bs balas chat pencari kost",1,4,25.20.0,2025-05-23 12:37:13,,,25.20.0,1
01e4057c-f189-4ad7-990b-607cfbb10bfd,Andhika Fajar Ismail,https://play-lh.googleusercontent.com/a-/ALV-UjXU4L7Es6_5F31b3XsLTYoEMg20m-iIRK3iWNJZOVfTpPmPkhY,Setelah taro nomor telpon di mamikos banyak yg spam telponin saya berupa pinjol atau penipuan. Ini user data anda yg bocor atau emang ada karyawan yang double job sebagai lembaga lain? sungguh tidak menyenangkan kecewa saya,1,1,25.18.0,2025-05-19 17:20:17,,,25.18.0,1
70763232-2906-49c7-a517-0e98dfe88501,Maulana Firman,https://play-lh.googleusercontent.com/a-/ALV-UjXI4mwzK1YplFQ9uBa_CvlOGghYUh9D-ZQ87inOsxHhO4a3SS5O,notif pesan chat calon penyewa utk pemilik properti ga muncul trus. padahal semua izin app sudah disetujui diperbaiki dong app nya. ini merugikan saya yg udah bayar. hp saya samsung galaxy note20 ultra,1,13,25.10.0,2025-03-23 06:33:32,"Halo, Pak, Mohon maaf atas ketidaknyamanan yang Bapak alami. Apakah Bapak sudah menghubungi CS Mamikos melalui WA berikut 081325111171? Kami sarankan untuk menghubungi CS Mamikos agar dapat dibantu lebih lanjut terkait kendala yang Bapak alami. Mohon dukungannya dengan update rating ya Pak, agar kami bisa meningkatkan layanan.Terima kasih",2025-03-23 22:07:18,25.10.0,1
ae7be340-7f6d-4ac7-8d0f-9f74c79cc1ac,muhammad irsyad,https://play-lh.googleusercontent.com/a-/ALV-UjUjUBMY4ocTgOSz1TywbKjhR4SvbiQM_DFcI6HhivFu7yViyL0g,mamikos sekarang terlalu banyak pembayaran sebagai pemilik kost jika ada calon penyewa yang menanyakan kamar bila tidak ada jawaban mohon maaf karena untuk buat jawaban aja di suruh bayar dulu,1,5,25.13.0,2025-04-20 19:17:19,"Halo, Kak, Mohon maaf atas ketidaknyamanan yang Kakak alami. Apakah Kakak sudah menghubungi CS Mamikos melalui WA berikut 081325111171? Kami sarankan untuk menghubungi CS Mamikos agar dapat dibantu lebih lanjut terkait kendala yang Kakak alami. Mohon dukungannya dengan update rating ya Kak, agar kami bisa meningkatkan layanan.Terima kasih",2025-04-20 19:36:35,25.13.0,1
13179a50-23ab-4444-a8be-78426f1da1e5,Booking Nugrahahomestay,https://play-lh.googleusercontent.com/a/ACg8ocJSX-skKTvrqNdx7SfttYhnvMkC2ALOmFU2sV0gPFe24sRjug=mo,saya pemilik kos cuma bales chat 1 orang kuota habis jadi sekian banyak chat kita tidak bisa bales harus beli kuota secara tidak langsung memaksa pemilik kos mengeluarkan buged lebih hanya supaya bisa bales chat calon penyewa,1,2,25.16.0,2025-04-26 13:23:28,Halo Bapak/Ibu mohon maaf atas ketidaknyamanannya. Terkait kendala yang dialami dapat dikonsultasikan kepada CS melalui WhatsApp 081325111171 agar dapat dibantu lebih cepat untuk proses update datanya. Terima kasih,2025-04-30 16:06:45,25.16.0,1
98b049b9-2f94-4e3e-9d0f-b5d0c767f33c,NANANG KHOIRON SUBCHI (Subky),https://play-lh.googleusercontent.com/a-/ALV-UjXUYR7r3d5Ck_UOHWNwkkpkm5GEYeNgFeN_Rve-e4ryDzjiQA8,elahh abis update map jadi ngacooo. mau cari kos jadinya bingung sama map yg ngaco gini.,1,2,25.13.0,2025-04-15 00:52:38,"Halo, Kak, Mohon maaf atas ketidaknyamanan yang Kakak alami. Apakah Kakak sudah menghubungi CS Mamikos melalui WA berikut 081325111171? Kami sarankan untuk menghubungi CS Mamikos agar dapat dibantu lebih lanjut terkait kendala yang Kakak alami. Mohon dukungannya dengan update rating ya Kak, agar kami bisa meningkatkan layanan.Terima kasih",2025-04-19 23:18:57,25.13.0,1
44a8a82e-83e9-4e5a-b1cb-7d4872a5d8a8,Angga Aditya,https://play-lh.googleusercontent.com/a-/ALV-UjW00kUnFFM2c1Cw63liILYGQ1LMU-H3tR0J49MiEfPBIpgfHLs,"buset aplikasi apaan ini,chat aj bru satu baris doang udh d suruh bayar,bner2 deh udah d suru bayar,gak pantes d donlot lah ni aplikasi,buang2 waktu aj,cm perkara chat aj d batasin sgtuny,cm sebaris d kasi abis itu bayar...yg kayak gt nnti dlu klo rating saler atau buyer ny udh tinggi,klo masi nubie2 gini udh d suru2 bayar,kpn majuny ni aplikasi,hapus aj la",1,6,25.13.0,2025-04-09 19:25:33,"Halo, Kak, Mohon maaf atas ketidaknyamanan yang Kakak alami. Apakah Kakak sudah menghubungi CS Mamikos melalui WA berikut 081325111171? Kami sarankan untuk menghubungi CS Mamikos agar dapat dibantu lebih lanjut terkait kendala yang Kakak alami. Mohon dukungannya dengan update rating ya Kak, agar kami bisa meningkatkan layanan.Terima kasih",2025-04-10 23:15:40,25.13.0,1
